count,isbn,authors,year,title,language,rating,read,image
6,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4,738894,https://images.gr-assets.com/books/1397245675m/149
8,439244196,"Louis Sachar, Louis Sachar",1998,Holes,eng,4,747445,https://images.gr-assets.com/books/1327781893m/387
9,307275558,Lauren Weisberger,2003,The Devil Wears Prada,eng,4,665930,https://s.gr-assets.com/assets/nophoto/book/111x14
8,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marc",1946,Le Petit Prince,eng,4,738757,https://images.gr-assets.com/books/1367545443m/157
12,74324754,Jeannette Walls,2005,The Glass Castle,eng,4,621099,https://images.gr-assets.com/books/1400930557m/744
3,385486804,Jon Krakauer,1996,Into the Wild,eng,4,647684,https://images.gr-assets.com/books/1403173986m/184
6,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Br",1859,A Tale of Two Cities,eng,4,637412,https://images.gr-assets.com/books/1344922523m/195
7,30734813,Michael Crichton,1990,Jurassic Park,spa,4,447833,https://s.gr-assets.com/assets/nophoto/book/111x14
8,60256656,Shel Silverstein,1964,The Giving Tree,eng,4,702332,https://images.gr-assets.com/books/1174210942m/370
8,385338600,John Grisham,1989,A Time to Kill,eng,4,597775,https://s.gr-assets.com/assets/nophoto/book/111x14
8,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4,691231,https://images.gr-assets.com/books/1473495285m/161
6,14241493,John Green,2008,Paper Towns,en-US,4,461311,https://images.gr-assets.com/books/1349013610m/644
5,345418263,William Goldman,1973,The Princess Bride,en-US,4,628637,https://images.gr-assets.com/books/1327903636m/217
5,14038572,S.E. Hinton,1967,The Outsiders,en-US,4,659248,https://images.gr-assets.com/books/1442129426m/231
5,385737947,James Dashner,2009,The Maze Runner,eng,4,719925,https://images.gr-assets.com/books/1375596592m/618
5,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidde,en-US,4,524191,https://images.gr-assets.com/books/1327909092m/120
5,517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng,4,639357,https://images.gr-assets.com/books/1327873635m/299
5,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4,490565,https://images.gr-assets.com/books/1327881361m/320
4,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4,590014,https://images.gr-assets.com/books/1424596966m/529
4,345803507,E.L. James,2012,Fifty Shades Freed,eng,4,387290,https://images.gr-assets.com/books/1336418837m/135
4,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,4,618973,https://images.gr-assets.com/books/1387151694m/172
3,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4,563994,https://images.gr-assets.com/books/1351778881m/506
2,1612130585,E.L. James,2011,Fifty Shades Darker,eng,4,552059,https://images.gr-assets.com/books/1358266080m/118
4,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4,546502,https://images.gr-assets.com/books/1412242487m/724
3,349113912,David Sedaris,2000,Me Talk Pretty One Day,eng,4,495736,https://s.gr-assets.com/assets/nophoto/book/111x14
5,99408392,Maurice Sendak,1963,Where the Wild Things Are,eng,4,620618,https://images.gr-assets.com/books/1384434560m/195
32,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4,555822,https://images.gr-assets.com/books/1309203605m/712
3,307265439,Cormac McCarthy,2006,The Road,eng,4,504793,https://images.gr-assets.com/books/1439197219m/628
3,7524277,Veronica Roth,2013,Allegiant,eng,4,463257,https://images.gr-assets.com/books/1395582745m/187
2,446693804,Nicholas Sparks,1999,A Walk to Remember,en-US,4,546948,https://images.gr-assets.com/books/1385738968m/347
3,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,4,543658,https://images.gr-assets.com/books/1327872404m/941
4,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4,513407,https://images.gr-assets.com/books/1411852091m/242
6,553381695,George R.R. Martin,1998,A Clash of Kings,eng,4,523303,https://images.gr-assets.com/books/1358254974m/105
6,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,eng,4,501430,https://s.gr-assets.com/assets/nophoto/book/111x14
6,670026603,Jojo Moyes,2012,Me Before You,eng,4,587647,https://images.gr-assets.com/books/1357108762m/155
251,684833395,Joseph Heller,1961,Catch-22,en-US,4,563265,https://images.gr-assets.com/books/1463157317m/168
6,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4,556518,https://images.gr-assets.com/books/1423763749m/690
125,312422156,Jeffrey Eugenides,2002,Middlesex,en-US,4,488243,https://images.gr-assets.com/books/1437029776m/218
6,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,4,555359,https://images.gr-assets.com/books/1404811979m/245
165,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4,615907,https://images.gr-assets.com/books/1329061522m/181
126,143038095,Amy Tan,1989,The Joy Luck Club,eng,4,515090,https://images.gr-assets.com/books/1304978653m/776
6,38549081,Margaret Atwood,1985,The Handmaid's Tale,eng,4,607889,https://images.gr-assets.com/books/1498057733m/384
93,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,4,525706,https://images.gr-assets.com/books/1461611233m/452
6,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of ,eng,4,506900,https://images.gr-assets.com/books/1437733293m/374
11,582418275,John Grisham,1991,The Firm,eng,4,488269,https://images.gr-assets.com/books/1418465200m/535
6,316098337,Emma Donoghue,2010,Room,eng,4,511360,https://images.gr-assets.com/books/1344265419m/793
6,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmar",eng,4,515820,https://images.gr-assets.com/books/1351051208m/142
6,340839937,Frank Herbert,1965,Dune,eng,4,485032,https://images.gr-assets.com/books/1434908555m/234
6,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Bi,eng,4,490504,https://images.gr-assets.com/books/1473396980m/261
6,1451648537,Walter Isaacson,2011,Steve Jobs,eng,4,560715,https://images.gr-assets.com/books/1327861368m/110
6,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4,491642,https://images.gr-assets.com/books/1485308778m/332
5,684830493,Ernest Hemingway,1952,The Old Man and the Sea,eng,4,520630,https://images.gr-assets.com/books/1329189714m/216
6,142000663,John Steinbeck,1939,The Grapes of Wrath,eng,4,322321,https://images.gr-assets.com/books/1352912927m/439
3,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,,4,449501,https://s.gr-assets.com/assets/nophoto/book/111x14
7,451528824,L.M. Montgomery,1908,Anne of Green Gables,eng,4,502247,https://s.gr-assets.com/assets/nophoto/book/111x14
3,1416914307,Cassandra Clare,2009,City of Glass,en-US,4,593173,https://images.gr-assets.com/books/1369452339m/377
3,55357342,George R.R. Martin,2000,A Storm of Swords,eng,5,469022,https://images.gr-assets.com/books/1497931121m/622
3,6075995,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,4,465676,https://images.gr-assets.com/books/1408313524m/137
3,440242940,Diana Gabaldon,1991,Outlander,eng,4,515547,https://images.gr-assets.com/books/1402600310m/109
2,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3,509883,https://images.gr-assets.com/books/1404810944m/122
2,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,en-US,4,613674,https://images.gr-assets.com/books/1472782916m/946
2,30726999,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,en-US,4,443951,https://images.gr-assets.com/books/1327708260m/689
5,804139024,Andy Weir,2012,The Martian,eng,4,423344,https://images.gr-assets.com/books/1413706054m/180
5,451207149,Ken Follett,1989,The Pillars of the Earth,eng,4,462517,https://s.gr-assets.com/assets/nophoto/book/111x14
6,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resili",eng,4,487775,https://images.gr-assets.com/books/1327861115m/866
7,671027387,Dan Brown,2001,Deception Point,eng,4,455610,https://s.gr-assets.com/assets/nophoto/book/111x14
7,316055433,Donna Tartt,2013,The Goldfinch,eng,4,396756,https://images.gr-assets.com/books/1451554970m/173
6,1595141715,Jay Asher,2007,Thirteen Reasons Why,eng,4,463783,https://images.gr-assets.com/books/1333822506m/121
5,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,4,467577,https://images.gr-assets.com/books/1327197580m/286
4,525421033,Gayle Forman,2009,If I Stay,en-US,4,503527,https://images.gr-assets.com/books/1347462970m/437
2,312353766,Anita Diamant,1997,The Red Tent,en-US,4,424981,https://s.gr-assets.com/assets/nophoto/book/111x14
6,786856866,Rick Riordan,2006,The Sea of Monsters,eng,4,514932,https://images.gr-assets.com/books/1400602661m/281
111,446528056,Nicholas Sparks,2006,Dear John,en-US,4,441062,https://images.gr-assets.com/books/1397749854m/552
125,1416914293,Cassandra Clare,2008,City of Ashes,eng,4,541117,https://images.gr-assets.com/books/1432730356m/158
1732,743477103,William Shakespeare,1606,The Tragedy of Macbeth,eng,4,496018,https://images.gr-assets.com/books/1459795224m/885
453,618346260,J.R.R. Tolkien,1954,The Two Towers,en-US,4,480446,https://images.gr-assets.com/books/1298415523m/152
65,31232118,Emily Giffin,2004,Something Borrowed,eng,4,403601,https://images.gr-assets.com/books/1305063535m/421
72,394800168,"Dr. Seuss, ??? ????",1960,Green Eggs and Ham,en-US,4,457475,https://images.gr-assets.com/books/1468680100m/237
338,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,eng,4,453959,https://images.gr-assets.com/books/1309211401m/631
92,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,eng,4,508214,https://images.gr-assets.com/books/1443142158m/212
1725,192833596,Charles Dickens,1860,Great Expectations,eng,4,459247,https://images.gr-assets.com/books/1327920219m/262
470,345339738,J.R.R. Tolkien,1955,The Return of the King,en-US,5,463959,https://images.gr-assets.com/books/1389977161m/185
72,142311339,Rick Riordan,2010,The Lost Hero,eng,4,271576,https://images.gr-assets.com/books/1464201003m/773
103,1250012570,Rainbow Rowell,2013,Eleanor & Park,eng,4,514312,https://images.gr-assets.com/books/1341952742m/157
176,55358202,George R.R. Martin,2005,A Feast for Crows,en-US,4,428186,https://images.gr-assets.com/books/1429538615m/134
84,525423648,Ally Condie,2010,Matched,eng,4,511815,https://images.gr-assets.com/books/1367706191m/773
196,747263744,Neil Gaiman,2001,American Gods,eng,4,378019,https://images.gr-assets.com/books/1258417001m/440
195,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4,438832,https://images.gr-assets.com/books/1213131305m/149
95,446547565,Nicholas Sparks,2008,The Last Song,en-GB,4,424637,https://images.gr-assets.com/books/1286549186m/640
185,552151696,Dan Brown,1998,Digital Fortress,en-GB,4,423019,https://images.gr-assets.com/books/1360095966m/111
12,141439580,"Jane Austen, Fiona Stafford",1815,Emma,eng,4,459826,https://images.gr-assets.com/books/1373627931m/696
14,393312836,Anthony Burgess,1962,A Clockwork Orange,eng,4,431195,https://images.gr-assets.com/books/1348339306m/227
4,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,4,419539,https://images.gr-assets.com/books/1344270232m/181
87,739380338,Rick Riordan,2009,The Last Olympian,eng,5,397500,https://images.gr-assets.com/books/1327924597m/450
7,451169514,Stephen King,1986,It,en-US,4,292592,https://images.gr-assets.com/books/1309376909m/183
5,61148512,Sylvia Plath,1963,The Bell Jar,en-US,4,401605,https://images.gr-assets.com/books/1473890514m/651
3,7205236,Frank McCourt,1996,Angela's Ashes: A Memoir,eng,4,392103,https://s.gr-assets.com/assets/nophoto/book/111x14
3,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,4,372099,https://images.gr-assets.com/books/1428715580m/520
5,679745580,Truman Capote,1965,In Cold Blood,eng,4,381652,https://images.gr-assets.com/books/1424931136m/168
6,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,eng,4,436093,https://images.gr-assets.com/books/1327873282m/630
6,1416975861,Cassandra Clare,2010,Clockwork Angel,eng,4,490890,https://images.gr-assets.com/books/1454962884m/717
15,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4,440743,https://s.gr-assets.com/assets/nophoto/book/111x14
14,385534639,Erin Morgenstern,2011,The Night Circus,eng,4,429543,https://images.gr-assets.com/books/1387124618m/936
6,743227441,Philippa Gregory,2001,The Other Boleyn Girl,eng,4,381080,https://images.gr-assets.com/books/1355932638m/374
98,689865384,Scott Westerfeld,2005,Uglies,eng,4,449073,https://images.gr-assets.com/books/1443904172m/247
6,121221213,George R.R. Martin,2011,A Dance with Dragons,eng,4,365954,https://images.gr-assets.com/books/1327885335m/106
2,618640150,J.R.R. Tolkien,1955,The Lord of the Rings,eng,4,389054,https://images.gr-assets.com/books/1411114164m/33.
2,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trai,eng,4,379872,https://images.gr-assets.com/books/1453189881m/122
6,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,4,398018,https://images.gr-assets.com/books/1442239711m/472
12,75640407,Patrick Rothfuss,2007,The Name of the Wind,eng,5,400101,https://images.gr-assets.com/books/1472068073m/186
2,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,4,353011,https://images.gr-assets.com/books/1344266315m/322
12,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale",eng,3,358050,https://images.gr-assets.com/books/1327940656m/153
1,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4,393626,https://images.gr-assets.com/books/1351979318m/272
6,393327345,Chuck Palahniuk,1996,Fight Club,eng,4,365349,https://images.gr-assets.com/books/1357128997m/575
1,441008534,Charlaine Harris,2001,Dead Until Dark,en-US,4,420764,https://images.gr-assets.com/books/1468560853m/301
1,671727796,Alice Walker,1982,The Color Purple,eng,4,376766,https://s.gr-assets.com/assets/nophoto/book/111x14
6,739461192,John Grogan,2005,Marley & Me: Life and Love with the World's Worst ,eng,4,367304,https://images.gr-assets.com/books/1308858322m/126
3,312330871,Agatha Christie,1939,Ten Little Niggers,eng,4,408983,https://images.gr-assets.com/books/1391120695m/162
3,385504225,Dan Brown,2009,The Lost Symbol,eng,4,369428,https://images.gr-assets.com/books/1358274396m/641
91,1416989412,Becca Fitzpatrick,2009,"Hush, Hush",en-US,4,448166,https://images.gr-assets.com/books/1358261334m/633
3,1561797464,Charles Dickens,1843,A Christmas Carol,,4,394540,https://images.gr-assets.com/books/1406512317m/532
3,345476875,Anne Rice,1976,Interview with the Vampire,eng,4,372566,https://images.gr-assets.com/books/1380631642m/437
31,62059939,Kiera Cass,2012,The Selection,en-US,4,505340,https://images.gr-assets.com/books/1322103400m/105
5,312362080,Janet Evanovich,1994,One for the Money,en-US,4,391007,https://images.gr-assets.com/books/1316730230m/685
1,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4,377249,https://images.gr-assets.com/books/1327878144m/649
1,99446782,Thomas Harris,1988,The Silence of the Lambs,eng,4,351107,https://images.gr-assets.com/books/1390426249m/238
5,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,en-US,4,348196,https://s.gr-assets.com/assets/nophoto/book/111x14
12,38572179,Ian McEwan,2001,Atonement,eng,4,347006,https://images.gr-assets.com/books/1320449708m/686
5,553213695,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,eng,4,364933,https://images.gr-assets.com/books/1359061917m/485
4,141382899,Rick Riordan,2007,The Titan's Curse,eng,4,446668,https://images.gr-assets.com/books/1361038385m/561
5,1554681723,Garth Stein,2006,The Art of Racing in the Rain,eng,4,327409,https://images.gr-assets.com/books/1377206302m/315
3,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Ma",eng,4,309385,https://images.gr-assets.com/books/1312066724m/219
5,425263908,Sylvia Day,2012,Bared to You,eng,4,222678,https://images.gr-assets.com/books/1477803272m/135
5,66238501,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,eng,4,376385,https://images.gr-assets.com/books/1449868701m/111
4,1558743669,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Surviv",eng,4,311543,https://s.gr-assets.com/assets/nophoto/book/111x14
5,752864327,Robert Ludlum,1980,The Bourne Identity,eng,4,327122,https://images.gr-assets.com/books/1335860740m/786
7,786817879,Eoin Colfer,2001,Artemis Fowl,eng,4,386923,https://images.gr-assets.com/books/1327945104m/249
8,385738935,Lauren Kate,2009,Fallen,en-US,4,395296,https://images.gr-assets.com/books/1440619649m/648
5,142000655,John Steinbeck,1952,East of Eden  ,eng,4,320919,https://images.gr-assets.com/books/1441547516m/440
5,307341569,Gillian Flynn,2009,Dark Places,eng,4,333452,https://images.gr-assets.com/books/1354988288m/588
6,385339089,John Grisham,1993,The Client,eng,4,320083,https://s.gr-assets.com/assets/nophoto/book/111x14
8,312291639,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,eng,3,323762,https://s.gr-assets.com/assets/nophoto/book/111x14
8,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,eng,4,340920,https://images.gr-assets.com/books/1327872220m/242
7,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,eng,4,365425,https://s.gr-assets.com/assets/nophoto/book/111x14
7,312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,eng,4,312444,https://s.gr-assets.com/assets/nophoto/book/111x14
6,452284694,Stephen King,1982,The Gunslinger,en-US,4,332494,https://images.gr-assets.com/books/1375776480m/436
5,140003468,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,eng,4,283806,https://images.gr-assets.com/books/1327124987m/971
4,14131088,Laurie Halse Anderson,1999,Speak,eng,4,360156,https://images.gr-assets.com/books/1310121762m/439
4,399159347,Liane Moriarty,2013,The Husband's Secret ,eng,4,232106,https://images.gr-assets.com/books/1460577225m/178
